,Batch,ID,Time,Embryo,Zona
244,D2018_01_29_S00153_I0831_D_pdb,E5,1780,0.1964,0.2999
245,D2018_01_29_S00153_I0831_D_pdb,E5,4816,0.1941,0.3077
246,D2018_01_29_S00153_I0831_D_pdb,E5,201,0.1935,0.3158
247,D2018_01_29_S00153_I0831_D_pdb,E5,2040,0.1950,0.3035
248,D2018_01_29_S00153_I0831_D_pdb,E5,9252,,
249,D2018_01_29_S00153_I0831_D_pdb,E5,7579,0.2150,0.3206
250,D2018_01_29_S00153_I0831_D_pdb,E5,7469,0.2182,0.3255
251,D2018_01_29_S00153_I0831_D_pdb,E5,8009,0.2075,0.3088
252,D2018_01_29_S00153_I0831_D_pdb,E5,7549,0.2180,0.3211
253,D2018_01_29_S00153_I0831_D_pdb,E5,2090,0.1966,0.3019
254,D2018_01_29_S00153_I0831_D_pdb,E5,7979,0.2106,0.3107
255,D2018_01_29_S00153_I0831_D_pdb,E5,7699,0.2072,0.3095
256,D2018_01_29_S00153_I0831_D_pdb,E5,2771,0.1933,0.3086
257,D2018_01_29_S00153_I0831_D_pdb,E5,2321,0.1924,0.3090
258,D2018_01_29_S00153_I0831_D_pdb,E5,5686,0.1931,0.3025
259,D2018_01_29_S00153_I0831_D_pdb,E5,8492,,
260,D2018_01_29_S00153_I0831_D_pdb,E5,2411,0.1912,0.3085
261,D2018_01_29_S00153_I0831_D_pdb,E5,5716,0.1917,0.3054
262,D2018_01_29_S00153_I0831_D_pdb,E5,6337,0.1934,0.3022
263,D2018_01_29_S00153_I0831_D_pdb,E5,1870,0.1974,0.3032
264,D2018_01_29_S00153_I0831_D_pdb,E5,1340,0.1914,0.3033
265,D2018_01_29_S00153_I0831_D_pdb,E5,9132,,
266,D2018_01_29_S00153_I0831_D_pdb,E5,2601,0.1949,0.3075
267,D2018_01_29_S00153_I0831_D_pdb,E5,5666,0.1959,0.3022
268,D2018_01_29_S00153_I0831_D_pdb,E5,6738,0.1923,0.3080
269,D2018_01_29_S00153_I0831_D_pdb,E5,7279,0.2208,0.3274
270,D2018_01_29_S00153_I0831_D_pdb,E5,2391,0.1928,0.3078
271,D2018_01_29_S00153_I0831_D_pdb,E5,1260,0.1886,0.3031
272,D2018_01_29_S00153_I0831_D_pdb,E5,5556,0.1925,0.3045
273,D2018_01_29_S00153_I0831_D_pdb,E5,6618,0.1930,0.3048
274,D2018_01_29_S00153_I0831_D_pdb,E5,1530,0.1963,0.3076
275,D2018_01_29_S00153_I0831_D_pdb,E5,721,0.1944,0.3157
276,D2018_01_29_S00153_I0831_D_pdb,E5,6668,0.1916,0.3052
277,D2018_01_29_S00153_I0831_D_pdb,E5,8782,,
278,D2018_01_29_S00153_I0831_D_pdb,E5,8752,,
279,D2018_01_29_S00153_I0831_D_pdb,E5,4176,0.1997,0.3133
280,D2018_01_29_S00153_I0831_D_pdb,E5,2351,0.1925,0.3079
281,D2018_01_29_S00153_I0831_D_pdb,E5,3321,0.1972,0.3030
282,D2018_01_29_S00153_I0831_D_pdb,E5,8582,,
283,D2018_01_29_S00153_I0831_D_pdb,E5,5356,0.1928,0.3040
284,D2018_01_29_S00153_I0831_D_pdb,E5,6958,0.1919,0.3027
285,D2018_01_29_S00153_I0831_D_pdb,E5,9082,,
286,D2018_01_29_S00153_I0831_D_pdb,E5,3461,0.1956,0.3047
287,D2018_01_29_S00153_I0831_D_pdb,E5,2371,0.1937,0.3085
288,D2018_01_29_S00153_I0831_D_pdb,E5,9323,,
289,D2018_01_29_S00153_I0831_D_pdb,E5,9343,,
290,D2018_01_29_S00153_I0831_D_pdb,E5,5706,0.1910,0.3069
291,D2018_01_29_S00153_I0831_D_pdb,E5,1091,0.1964,0.3178
292,D2018_01_29_S00153_I0831_D_pdb,E5,6768,0.1922,0.3013
293,D2018_01_29_S00153_I0831_D_pdb,E5,6658,0.1952,0.3048
294,D2018_01_29_S00153_I0831_D_pdb,E5,7839,0.2073,0.3071
295,D2018_01_29_S00153_I0831_D_pdb,E5,4406,0.1959,0.3093
296,D2018_01_29_S00153_I0831_D_pdb,E5,7949,0.2130,0.3143
297,D2018_01_29_S00153_I0831_D_pdb,E5,3651,0.1985,0.3069
298,D2018_01_29_S00153_I0831_D_pdb,E5,5306,0.1945,0.3048
299,D2018_01_29_S00153_I0831_D_pdb,E5,3451,0.1958,0.3051
300,D2018_01_29_S00153_I0831_D_pdb,E5,2481,0.1934,0.3095
301,D2018_01_29_S00153_I0831_D_pdb,E5,8642,,
302,D2018_01_29_S00153_I0831_D_pdb,E5,751,0.1956,0.3141
303,D2018_01_29_S00153_I0831_D_pdb,E5,4776,0.1932,0.3032
304,D2018_01_29_S00153_I0831_D_pdb,E5,5056,0.1929,0.3062
305,D2018_01_29_S00153_I0831_D_pdb,E5,5696,0.1930,0.3074
306,D2018_01_29_S00153_I0831_D_pdb,E5,8882,,
307,D2018_01_29_S00153_I0831_D_pdb,E5,9880,,
308,D2018_01_29_S00153_I0831_D_pdb,E5,1810,0.1979,0.3028
309,D2018_01_29_S00153_I0831_D_pdb,E5,4012,0.1990,0.3036
310,D2018_01_29_S00153_I0831_D_pdb,E5,361,0.1929,0.3154
311,D2018_01_29_S00153_I0831_D_pdb,E5,2941,0.1945,0.3107
312,D2018_01_29_S00153_I0831_D_pdb,E5,7199,0.2088,0.3172
313,D2018_01_29_S00153_I0831_D_pdb,E5,6848,0.1919,0.3019
314,D2018_01_29_S00153_I0831_D_pdb,E5,2130,0.1961,0.2991
315,D2018_01_29_S00153_I0831_D_pdb,E5,4606,0.1899,0.3064
316,D2018_01_29_S00153_I0831_D_pdb,E5,2531,0.1932,0.3115
317,D2018_01_29_S00153_I0831_D_pdb,E5,6798,0.1892,0.3048
318,D2018_01_29_S00153_I0831_D_pdb,E5,2781,0.1940,0.3089
319,D2018_01_29_S00153_I0831_D_pdb,E5,1980,0.1964,0.3024
320,D2018_01_29_S00153_I0831_D_pdb,E5,8942,,
321,D2018_01_29_S00153_I0831_D_pdb,E5,5898,0.1932,0.3021
322,D2018_01_29_S00153_I0831_D_pdb,E5,8079,0.2094,0.3084
323,D2018_01_29_S00153_I0831_D_pdb,E5,511,0.1925,0.3163
324,D2018_01_29_S00153_I0831_D_pdb,E5,7038,0.1958,0.3017
325,D2018_01_29_S00153_I0831_D_pdb,E5,9890,,
326,D2018_01_29_S00153_I0831_D_pdb,E5,5236,0.1912,0.3039
327,D2018_01_29_S00153_I0831_D_pdb,E5,9453,,
328,D2018_01_29_S00153_I0831_D_pdb,E5,2521,0.1918,0.3075
329,D2018_01_29_S00153_I0831_D_pdb,E5,5797,0.1932,0.3041
330,D2018_01_29_S00153_I0831_D_pdb,E5,9693,,
331,D2018_01_29_S00153_I0831_D_pdb,E5,6888,0.1930,0.3030
332,D2018_01_29_S00153_I0831_D_pdb,E5,5136,0.1930,0.3030
333,D2018_01_29_S00153_I0831_D_pdb,E5,9613,,
334,D2018_01_29_S00153_I0831_D_pdb,E5,4116,0.1999,0.3081
335,D2018_01_29_S00153_I0831_D_pdb,E5,140,0.1913,0.3152
336,D2018_01_29_S00153_I0831_D_pdb,E5,3771,0.1984,0.3079
337,D2018_01_29_S00153_I0831_D_pdb,E5,3061,0.1996,0.3090
338,D2018_01_29_S00153_I0831_D_pdb,E5,371,0.1923,0.3155
339,D2018_01_29_S00153_I0831_D_pdb,E5,951,0.1950,0.3151
340,D2018_01_29_S00153_I0831_D_pdb,E5,3531,0.1963,0.3059
341,D2018_01_29_S00153_I0831_D_pdb,E5,391,0.1905,0.3178
342,D2018_01_29_S00153_I0831_D_pdb,E5,4746,0.1934,0.3080
343,D2018_01_29_S00153_I0831_D_pdb,E5,1021,0.1954,0.3156
344,D2018_01_29_S00153_I0831_D_pdb,E5,8572,,
345,D2018_01_29_S00153_I0831_D_pdb,E5,6267,0.1927,0.3037
346,D2018_01_29_S00153_I0831_D_pdb,E5,3091,0.1995,0.3093
347,D2018_01_29_S00153_I0831_D_pdb,E5,8397,,
348,D2018_01_29_S00153_I0831_D_pdb,E5,4686,0.1941,0.3080
349,D2018_01_29_S00153_I0831_D_pdb,E5,2060,0.1935,0.3003
350,D2018_01_29_S00153_I0831_D_pdb,E5,6177,0.1946,0.3057
351,D2018_01_29_S00153_I0831_D_pdb,E5,6698,0.1893,0.3050
352,D2018_01_29_S00153_I0831_D_pdb,E5,6318,0.1959,0.3018
353,D2018_01_29_S00153_I0831_D_pdb,E5,1310,0.1923,0.2994
354,D2018_01_29_S00153_I0831_D_pdb,E5,4425,0.1975,0.3076
355,D2018_01_29_S00153_I0831_D_pdb,E5,6157,0.1951,0.3054
356,D2018_01_29_S00153_I0831_D_pdb,E5,6558,0.1913,0.3048
357,D2018_01_29_S00153_I0831_D_pdb,E5,5396,0.1916,0.3016
358,D2018_01_29_S00153_I0831_D_pdb,E5,2281,0.1918,0.3073
359,D2018_01_29_S00153_I0831_D_pdb,E5,9202,,
360,D2018_01_29_S00153_I0831_D_pdb,E5,8512,,
