,Embryo,Static time,Last time,Max time,Method 1,Method 3
354,D2018_06_08_S00233_I0831_D_pdb_E3,6799,7118,7058,319,259
355,D2017_07_11_S0288_I776_pdb_E7,6801,9688,7497,2887,696
356,D2018_03_20_S00449_I0776_E5,6798,6798,6818,0,20
357,D2019_03_23_S00158_I3171_E1,6799,6818,6818,19,19
358,D2018_12_05_S00363_I0831_D_pdb_E7,2862,2862,2862,0,0
359,D2018_11_16_S00570_I0776_D_pdb_E7,6803,6803,6843,0,40
360,D2019_12_15_S00622_I0831_D_pdb_E7,6799,6918,6878,119,79
361,D2019_08_02_S00511_I0831_D_pdb_E9,6804,8458,7715,1654,911
362,D2020_02_12_S00404_I0800_D_pdb_E6,6800,7152,7140,352,340
363,D2019_10_04_S00555_I0831_D_pdb_E4,6800,6960,6910,160,110
364,D2017_06_17_S0019_I831_pdb_E3,6800,6930,6910,130,110
365,D2016_10_19_S0128_I776_pdb_E2,6803,6843,6843,40,40
366,D2019_01_18_S00073_I3169_E1,6799,6799,6837,0,38
367,D2019_08_15_S00341_I0800_D_pdb_E7,6796,6796,7057,0,261
368,D2019_01_16_S00379_I0831_D_pdb_E3,6799,6799,6809,0,10
369,D2020_03_11_S00415_I0800_D_pdb_E8,6804,7015,6935,211,131
370,D2018_10_24_S00553_I0776_D_pdb_E8,6800,7025,7025,225,225
371,D2019_02_25_S00406_I0831_D_pdb_E7,6800,7075,6910,275,110
372,D2018_06_10_S00489_I0776_D_pdb_E8,6804,6804,6954,0,150
373,D2019_11_08_S00482_I3171_E1,6802,7157,7110,355,308
374,D2019_04_11_S00177_I3171_E5,6800,6956,6925,156,125
375,D2020_02_07_S00638_I0831_D_pdb_E3,6804,6804,7024,0,220
376,D2017_05_31_S0257_I776_pdb_E6,6800,6800,6810,0,10
377,D2019_02_11_S00278_I0800_D_pdb_E1,6800,6800,6860,0,60
378,D2019_10_22_S00452_I3171_E8,6795,6947,6903,152,108
379,D2019_10_06_S00426_I3171_E11,6796,6934,6923,138,127
380,D2018_03_16_S00130_I0800_D_pdb_E5,6796,6936,6826,140,30
381,D2018_01_24_S00149_I0831_D_pdb_E2,1086,1086,1086,0,0
382,D2017_09_14_S0070_I831_pdb_E3,6797,6797,6817,0,20
383,D2019_04_02_S00597_I0776_D_pdb_E6,6802,6962,6822,160,20
