,Batch,ID,Time,Embryo,Zona,Ratio
183,D2018_02_25_S00434_I0776,E4,3647,0.1774,0.3113,0.5699
184,D2018_02_25_S00434_I0776,E4,7566,,,
185,D2018_02_25_S00434_I0776,E4,1598,0.1705,0.3071,0.5552
186,D2018_02_25_S00434_I0776,E4,4157,0.1782,0.3092,0.5763
187,D2018_02_25_S00434_I0776,E4,5415,0.1772,0.3110,0.5698
188,D2018_02_25_S00434_I0776,E4,8027,,,
189,D2018_02_25_S00434_I0776,E4,2726,0.1774,0.3097,0.5728
190,D2018_02_25_S00434_I0776,E4,7176,,,
191,D2018_02_25_S00434_I0776,E4,2489,0.1785,0.3104,0.5751
192,D2018_02_25_S00434_I0776,E4,7140,,,
193,D2018_02_25_S00434_I0776,E4,6130,0.1977,0.3230,0.6121
194,D2018_02_25_S00434_I0776,E4,8736,,,
195,D2018_02_25_S00434_I0776,E4,8526,,,
196,D2018_02_25_S00434_I0776,E4,2806,0.1769,0.3101,0.5705
197,D2018_02_25_S00434_I0776,E4,2602,0.1772,0.3089,0.5736
198,D2018_02_25_S00434_I0776,E4,1428,0.1745,0.3104,0.5622
199,D2018_02_25_S00434_I0776,E4,6541,0.2950,0.3804,0.7755
200,D2018_02_25_S00434_I0776,E4,2521,0.1794,0.3104,0.5780
201,D2018_02_25_S00434_I0776,E4,8606,,,
202,D2018_02_25_S00434_I0776,E4,2349,0.1812,0.3108,0.5830
203,D2018_02_25_S00434_I0776,E4,8192,,,
204,D2018_02_25_S00434_I0776,E4,6251,0.2183,0.3432,0.6361
205,D2018_02_25_S00434_I0776,E4,8506,,,
206,D2018_02_25_S00434_I0776,E4,3837,0.1801,0.3121,0.5771
207,D2018_02_25_S00434_I0776,E4,2766,0.1776,0.3086,0.5755
208,D2018_02_25_S00434_I0776,E4,3166,0.1761,0.3095,0.5690
209,D2018_02_25_S00434_I0776,E4,1308,0.1755,0.3063,0.5730
210,D2018_02_25_S00434_I0776,E4,5585,0.1712,0.3101,0.5521
211,D2018_02_25_S00434_I0776,E4,5265,0.1813,0.3113,0.5824
212,D2018_02_25_S00434_I0776,E4,6571,0.3068,0.3862,0.7944
213,D2018_02_25_S00434_I0776,E4,3416,0.1798,0.3101,0.5798
214,D2018_02_25_S00434_I0776,E4,1358,0.1762,0.3057,0.5764
215,D2018_02_25_S00434_I0776,E4,8251,,,
216,D2018_02_25_S00434_I0776,E4,4375,0.1810,0.3127,0.5788
217,D2018_02_25_S00434_I0776,E4,6731,0.3493,0.4092,0.8536
